Period,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Location,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip,First Tooltip
Afghanistan,82742,58131,39554,44167,55225,38407,32065,34912,29392,19065,23621,33894,31293,32145,32937,24585,30319,19689,12752
Albania,0,No data,No data,No data,2,2,0,6,1,0,1,0,1,1,1,2,7,3,3
Algeria,7557,5744,7051,11566,10293,10847,13106,10678,7523,5423,6428,7418,11742,10173,10666,8442,6764,14379,30227
Argentina,135,117,328,176,232,303,306,241,334,138,90,173,140,166,163,208,201,257,282
Armenia,No data,0,No data,1,0,0,0,0,0,0,0,0,0,No data,No data,No data,No data,No data,No data
Azerbaijan,No data,No data,No data,No data,43,16,10,35,18,15,33,19,31,45,33,14,22,17,15
Belize,No data,0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Bhutan,0,0,2,No data,No data,0,2,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Bolivia (Plurinational State of),2097,2197,2166,2059,2046,3127,2283,2222,2231,1683,2016,1767,1598,1440,1487,1650,3153,3152,2657
Bosnia and Herzegovina,No data,No data,No data,No data,No data,No data,0,0,0,0,0,0,0,No data,No data,No data,No data,No data,1
Brazil,13091,12953,14800,16056,15350,16167,17279,12468,19395,20418,18226,23547,21395,22397,21989,20123,21530,22397,26685
Bulgaria,No data,No data,0,1,0,0,No data,0,0,0,0,No data,No data,No data,No data,No data,No data,No data,No data
Burkina Faso,307,928,873,416,501,856,712,1075,729,741,947,1134,1389,No data,No data,No data,No data,827,827
Cote d'Ivoire,0,0,0,No data,No data,No data,0,0,No data,No data,No data,0,0,0,0,0,0,0,1
Cameroon,2,13,2,4,2,0,51,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Central African Republic,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Chad,1604,1089,189,38,82,46,8,No data,No data,No data,No data,No data,No data,No data,No data,No data,200,No data,No data
China,No data,0,0,No data,0,0,0,0,0,0,5,6,6,No data,No data,No data,No data,No data,No data
Colombia,4898,5685,6175,6124,5855,6316,7730,10941,7541,11586,9353,9757,9063,14818,15420,9595,13331,16241,18043
Costa Rica,668,492,563,528,601,1247,2224,1148,1171,2150,1950,1453,1376,1143,2025,818,1807,1870,1676
